Telemetry_ID,Date_ID,Client_ID,Asset_ID,Power_Consumed_kWh,Avg_CPU_Utilization_Pct,Thermal_Reading_C,System_Alerts
1,20250814,149,5065,705.92,91.2,19.8,0.0
2,20260430,105,5005,1059.11,80.8,33.9,2.0
3,20260416,213,5017,89.0,,34.6,2.0
4,20260222,181,5064,191.39,25.1,34.3,0.0
5,20251115,208,5012,959.45,83.7,27.6,2.0
6,20260401,139,5039,80.97,45.2,22.2,
7,20250919,206,5087,449.12,45.6,34.8,3.0
8,20260116,277,5071,299.5,35.9,29.2,
9,20260123,153,5060,277.58,,25.7,
10,20260725,206,5022,1119.34,51.5,32.9,2.0
11,20260626,229,5058,1112.04,57.6,,0.0
12,20251114,299,5015,333.99,16.0,25.7,
13,20260209,257,5062,353.15,,18.9,0.0
14,20251014,221,5085,242.31,85.8,27.9,1.0
15,20260710,289,5070,718.24,54.7,18.9,
16,20260624,287,5031,1009.41,68.6,27.6,0.0
17,20251127,116,5032,377.16,60.1,32.0,
18,20260331,281,5028,245.05,59.4,33.6,2.0
19,20260320,136,5022,220.92,59.7,23.9,1.0
20,20251004,233,5097,1372.75,43.3,29.3,0.0
21,20260516,154,5085,346.04,93.1,20.7,2.0
22,20260223,244,5090,959.34,24.2,30.6,0.0
23,20260521,184,5012,1326.24,14.0,31.2,0.0
24,20260220,270,5014,484.41,74.9,24.1,0.0
25,20250810,223,5056,1045.8,,28.5,0.0
26,20251206,235,5092,273.2,11.1,25.7,0.0
27,20250817,197,5004,141.74,16.5,31.1,2.0
28,20260716,181,5021,1356.68,94.2,20.7,1.0
29,20260627,145,5042,736.91,39.6,27.3,0.0
30,20260610,218,5050,61.05,77.6,27.1,0.0
31,20251130,237,5099,593.08,69.1,27.0,0.0
32,20250831,188,5036,822.89,19.8,31.0,3.0
33,20260627,240,5029,1042.44,28.9,28.2,0.0
34,20260722,191,5093,1344.71,93.6,19.4,0.0
35,20250910,274,5033,207.36,26.5,29.4,
36,20260203,298,5086,,88.3,32.1,
37,20250904,285,5061,357.09,78.2,28.0,
38,20260515,275,5086,272.92,30.6,34.3,0.0
39,20260517,265,5016,207.24,,32.1,0.0
40,20250925,278,5086,382.42,83.2,24.1,2.0
41,20260130,168,5018,1228.27,,19.4,2.0
42,20260227,257,5069,435.9,59.2,29.5,3.0
43,20251115,224,5082,804.38,74.1,23.7,
44,20260625,150,5093,854.75,13.9,27.9,3.0
45,20260111,164,5063,1031.86,68.6,,2.0
46,20251026,172,5012,1427.45,81.0,29.9,
47,20260223,243,5089,1401.48,30.6,22.7,
48,20260504,177,5043,1353.51,67.2,32.2,0.0
49,20251022,158,5029,1379.85,,24.7,0.0
50,20251202,177,5074,1477.39,73.7,35.0,
51,20260809,298,5099,1335.26,41.6,35.0,3.0
52,20260404,174,5077,278.23,76.0,25.4,0.0
53,20260117,281,5009,1495.97,52.8,31.0,1.0
54,20260215,154,5083,822.63,39.0,20.5,
55,20250923,277,5044,872.58,45.8,32.0,2.0
56,20251031,281,5049,1432.75,92.3,18.1,0.0
57,20251211,226,5092,666.09,83.7,22.4,
58,20260313,182,5096,935.88,67.8,34.5,0.0
59,20251102,223,5095,,88.0,20.9,0.0
60,20251029,190,5093,454.8,56.6,32.8,1.0
61,20250904,244,5049,427.33,80.6,34.6,0.0
62,20260328,285,5084,360.51,23.0,32.9,
63,20251101,171,5083,1113.45,82.3,30.5,0.0
64,20260707,174,5072,1169.12,94.9,24.4,3.0
65,20260620,132,5056,79.04,28.5,27.2,0.0
66,20250904,247,5030,638.43,63.7,23.6,0.0
67,20251105,274,5029,594.51,22.4,26.4,0.0
68,20260411,240,5034,826.4,37.4,18.2,0.0
69,20251027,198,5015,1394.51,91.7,19.2,3.0
70,20250927,202,5038,1318.35,39.1,28.0,
71,20260718,189,5012,217.25,,31.0,
72,20260307,298,5015,1057.05,33.1,28.2,0.0
73,20260129,138,5012,1356.2,,23.9,0.0
74,20260524,175,5044,383.12,69.5,18.8,0.0
