Asset_ID,Asset_Model,Capacity_kW,Installation_Date,Operational_Status
5001,Server Rack Type A,50,2025-07-11,Online
5002,Power Distribution Unit,100,2023-09-07,Online
5003,Server Rack Type B,25,2024-06-07,Online
5004,HVAC Cooling Unit,100,2024-04-11,Online
5005,Power Distribution Unit,10,2025-10-26,Online
5006,Server Rack Type B,25,2025-08-21,Online
5007,Server Rack Type A,100,2026-04-14,Online
5008,Power Distribution Unit,50,2023-11-14,Maintenance
5009,Server Rack Type A,10,2024-11-15,Maintenance
5010,HVAC Cooling Unit,100,2023-09-12,Maintenance
5011,Server Rack Type A,10,2024-04-06,Maintenance
5012,Server Rack Type B,100,2025-02-14,Online
5013,Server Rack Type A,50,2023-09-09,Online
5014,Server Rack Type B,25,2024-03-15,Maintenance
5015,Power Distribution Unit,100,2025-07-23,Maintenance
5016,Power Distribution Unit,10,2025-03-30,Online
5017,Server Rack Type B,50,2024-04-08,Decommissioned
5018,HVAC Cooling Unit,25,2025-05-17,Online
5019,HVAC Cooling Unit,10,2026-01-14,Online
5020,HVAC Cooling Unit,50,2023-08-18,Maintenance
5021,Power Distribution Unit,10,2026-01-10,Online
5022,Power Distribution Unit,50,2025-09-14,Maintenance
5023,HVAC Cooling Unit,25,2024-08-17,Decommissioned
5024,Server Rack Type A,25,,Online
5025,HVAC Cooling Unit,10,2026-06-25,Decommissioned
5026,Server Rack Type A,50,,
5027,HVAC Cooling Unit,100,2023-11-20,Online
5028,Server Rack Type A,25,2023-11-25,Online
5029,Power Distribution Unit,100,2026-02-24,Online
5030,HVAC Cooling Unit,100,2025-06-02,Online
5031,HVAC Cooling Unit,10,2026-01-11,Online
5032,Server Rack Type B,10,2025-10-18,
5033,HVAC Cooling Unit,10,,Maintenance
5034,Server Rack Type A,50,2026-07-12,Decommissioned
5035,Server Rack Type B,25,,Maintenance
5036,HVAC Cooling Unit,25,2025-04-07,Online
5037,HVAC Cooling Unit,100,2026-02-05,Maintenance
5038,Power Distribution Unit,10,,
5039,Server Rack Type B,50,2026-03-12,Maintenance
5040,Server Rack Type A,25,2025-05-04,Online
5041,HVAC Cooling Unit,50,2025-09-21,Online
5042,Power Distribution Unit,10,2023-09-30,Decommissioned
5043,HVAC Cooling Unit,10,,Maintenance
5044,Server Rack Type B,25,2024-06-23,Online
5045,Server Rack Type A,100,2023-11-06,Online
5046,Power Distribution Unit,100,2024-04-22,Online
5047,HVAC Cooling Unit,10,2023-11-29,Maintenance
5048,Server Rack Type A,10,2024-06-10,Online
5049,HVAC Cooling Unit,100,2025-07-07,Decommissioned
5050,HVAC Cooling Unit,10,2024-09-13,Online
5051,Server Rack Type B,25,2024-09-19,Online
5052,Server Rack Type B,25,2024-03-27,Online
5053,HVAC Cooling Unit,50,2024-05-29,Decommissioned
5054,Power Distribution Unit,100,2026-06-02,Maintenance
5055,Server Rack Type B,10,,Online
5056,Server Rack Type B,50,2025-06-08,Online
5057,Server Rack Type B,25,2024-02-14,Online
5058,Server Rack Type B,100,2025-10-18,
5059,Server Rack Type A,25,2024-02-06,
5060,HVAC Cooling Unit,10,2024-09-29,Online
5061,Server Rack Type A,50,,Maintenance
5062,Server Rack Type A,10,2025-07-12,Decommissioned
5063,HVAC Cooling Unit,10,2025-04-12,Online
5064,Server Rack Type B,100,2025-08-30,Decommissioned
5065,Power Distribution Unit,100,2026-02-19,Online
5066,Server Rack Type B,10,2025-12-08,Maintenance
5067,Server Rack Type B,100,2024-04-18,Online
5068,Server Rack Type B,50,2023-09-15,Online
5069,Server Rack Type B,50,2024-07-21,Maintenance
5070,Power Distribution Unit,10,,Online
5071,Server Rack Type A,50,2024-03-29,Decommissioned
5072,Power Distribution Unit,10,,Online
5073,HVAC Cooling Unit,50,2026-03-28,Decommissioned
5074,Server Rack Type B,25,2024-07-20,Online
5075,Power Distribution Unit,10,2025-07-29,Maintenance
5076,HVAC Cooling Unit,50,2024-10-17,Online
5077,Power Distribution Unit,25,2026-05-09,
5078,Server Rack Type B,10,2024-12-25,Online
5079,Server Rack Type B,50,,Online
5080,HVAC Cooling Unit,50,2024-05-07,Online
5081,Power Distribution Unit,25,2025-04-17,Online
5082,Server Rack Type B,100,2024-05-24,Maintenance
5083,HVAC Cooling Unit,100,2025-05-12,Decommissioned
5084,Power Distribution Unit,25,2026-04-21,Maintenance
5085,Power Distribution Unit,25,2024-10-21,Decommissioned
5086,HVAC Cooling Unit,10,2024-04-07,Online
5087,Power Distribution Unit,100,2026-08-08,Online
5088,Power Distribution Unit,10,2025-02-19,Online
5089,Server Rack Type B,50,2023-11-18,Maintenance
5090,Server Rack Type B,25,2023-10-01,Online
5091,Server Rack Type B,10,2023-12-09,Decommissioned
5092,HVAC Cooling Unit,25,2025-06-28,Online
5093,Server Rack Type A,10,,Maintenance
5094,Power Distribution Unit,50,2024-11-15,Online
5095,HVAC Cooling Unit,50,2023-10-19,Online
5096,Server Rack Type A,100,2024-10-02,Online
5097,Server Rack Type A,100,2026-08-06,Online
5098,HVAC Cooling Unit,50,2025-03-12,Maintenance
5099,Server Rack Type A,10,2026-07-10,Online
5100,Server Rack Type B,25,2026-03-11,Maintenance
